                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.96012,                0.67431,                 1.0721,                0.72617,                0.77859,                0.80406,                0.45546,                 1.6368,                 1.3916,                 1.7715,             0.00094235,             0.00094235,             0.00094235
                     94,                0.95548,                0.67073,                 1.0832,                0.84678,                0.73928,                0.82966,                0.46936,                 1.5953,                 1.2906,                 1.7634,             0.00094052,             0.00094052,             0.00094052
                     95,                0.95307,                0.64748,                 1.0517,                0.81029,                0.78005,                0.83464,                0.46361,                 1.6617,                 1.2803,                 1.7834,             0.00093868,             0.00093868,             0.00093868
                     96,                0.97131,                0.69226,                 1.0909,                0.82272,                0.70854,                0.81459,                0.46714,                 1.6312,                 1.3135,                 1.7759,             0.00093685,             0.00093685,             0.00093685
                     97,                 1.0176,                 0.6588,                 1.0783,                0.79192,                0.77083,                0.81169,                0.46796,                 1.6969,                 1.4318,                 1.8464,             0.00093502,             0.00093502,             0.00093502
                     98,                0.98493,                0.66105,                 1.0668,                0.79158,                0.76286,                0.80289,                0.46839,                 1.6812,                 1.3671,                 1.8656,             0.00093318,             0.00093318,             0.00093318
                     99,                0.97452,                0.64427,                 1.0897,                0.83038,                0.69953,                0.80538,                0.45561,                 1.6819,                 1.3771,                  1.829,             0.00093135,             0.00093135,             0.00093135
                    100,                0.99379,                0.67397,                 1.0669,                0.72451,                 0.7262,                0.77242,                0.44857,                 1.7186,                 1.4978,                 1.8424,             0.00092952,             0.00092952,             0.00092952
                    101,                0.94511,                0.65197,                 1.0529,                0.74494,                0.73152,                0.75982,                0.44301,                 1.6864,                 1.5444,                 1.8409,             0.00092769,             0.00092769,             0.00092769
                    102,                0.95917,                0.65699,                 1.0695,                0.76914,                0.77306,                0.80618,                0.44744,                  1.688,                 1.3446,                 1.8389,             0.00092585,             0.00092585,             0.00092585
                    103,                0.94163,                  0.636,                 1.0753,                0.74498,                0.79968,                0.79735,                0.45909,                 1.7252,                 1.3068,                 1.9017,             0.00092402,             0.00092402,             0.00092402
                    104,                0.95621,                0.63096,                 1.0501,                0.75965,                0.74188,                0.74627,                0.42643,                 1.7358,                 1.4546,                 1.9377,             0.00092219,             0.00092219,             0.00092219
                    105,                0.89951,                0.63449,                 1.0636,                0.83035,                0.68889,                0.74215,                0.42008,                 1.6746,                 1.6781,                 1.8896,             0.00092035,             0.00092035,             0.00092035
                    106,                0.93427,                0.64802,                 1.0614,                0.76905,                0.73988,                0.78176,                0.42946,                 1.7215,                 1.4503,                 1.9203,             0.00091852,             0.00091852,             0.00091852
                    107,                0.96492,                0.66087,                 1.0711,                0.76911,                0.74481,                0.76319,                0.43847,                  1.765,                 1.4798,                 1.9571,             0.00091669,             0.00091669,             0.00091669
                    108,                0.92735,                0.64339,                 1.0519,                0.74901,                0.77808,                0.77337,                0.45646,                 1.7219,                 1.5018,                 1.9081,             0.00091485,             0.00091485,             0.00091485
                    109,                0.93193,                0.62967,                  1.046,                0.70594,                0.78651,                0.77296,                0.44303,                 1.7278,                 1.5411,                 1.8964,             0.00091302,             0.00091302,             0.00091302
                    110,                0.89507,                0.62156,                 1.0479,                 0.7619,                 0.7513,                0.79242,                0.44147,                 1.6895,                 1.5148,                 1.8621,             0.00091119,             0.00091119,             0.00091119
                    111,                0.90466,                0.59423,                 1.0345,                0.70441,                0.78353,                0.77677,                0.43965,                 1.6123,                 1.4633,                 1.7876,             0.00090935,             0.00090935,             0.00090935
                    112,                0.92717,                0.60379,                 1.0402,                0.75522,                0.79647,                0.78607,                 0.4545,                 1.5693,                 1.3521,                 1.7528,             0.00090752,             0.00090752,             0.00090752
                    113,                0.90111,                0.62691,                 1.0436,                0.79954,                 0.7876,                0.81207,                0.46755,                  1.581,                 1.3644,                 1.7524,             0.00090569,             0.00090569,             0.00090569
                    114,                 0.9048,                0.58815,                 1.0168,                0.81438,                0.81128,                0.81836,                0.47582,                 1.6057,                 1.4104,                 1.7799,             0.00090385,             0.00090385,             0.00090385
                    115,                0.93264,                0.62029,                  1.045,                0.88487,                0.76605,                0.82468,                0.47337,                 1.5983,                 1.4749,                 1.7726,             0.00090202,             0.00090202,             0.00090202
                    116,                0.89105,                0.60965,                 1.0253,                0.80579,                0.75882,                0.80131,                0.45705,                  1.614,                 1.5172,                 1.7654,             0.00090019,             0.00090019,             0.00090019
                    117,                0.83767,                0.58537,                 1.0228,                0.83605,                0.77046,                0.81658,                0.47038,                 1.6139,                 1.4631,                 1.7773,             0.00089835,             0.00089835,             0.00089835
                    118,                0.88314,                0.58269,                 1.0158,                0.85659,                0.77312,                0.81549,                0.45709,                 1.5997,                  1.445,                 1.7619,             0.00089652,             0.00089652,             0.00089652
                    119,                0.86489,                  0.586,                 1.0296,                0.75531,                0.77394,                0.80542,                 0.4595,                  1.565,                  1.478,                 1.7528,             0.00089469,             0.00089469,             0.00089469
                    120,                0.87392,                0.59282,                 1.0264,                0.80225,                0.70663,                0.77715,                0.45693,                  1.611,                 1.5351,                  1.785,             0.00089286,             0.00089286,             0.00089286
                    121,                0.85422,                0.57792,                 1.0124,                0.81968,                0.71498,                0.74885,                0.44856,                 1.6121,                 1.6075,                  1.782,             0.00089102,             0.00089102,             0.00089102
                    122,                 0.8605,                0.60327,                 1.0368,                0.75109,                0.76054,                0.76954,                0.43725,                 1.6073,                  1.563,                 1.7846,             0.00088919,             0.00088919,             0.00088919
                    123,                0.89285,                0.59231,                 1.0533,                0.79099,                0.68451,                0.79239,                0.46198,                 1.5506,                 1.5403,                 1.7202,             0.00088736,             0.00088736,             0.00088736
